행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
서울특별시  (1100000000),42.2,42.7,43.2,43.6,44
서울특별시 종로구 (1111000000),44.2,44.7,45.3,45.4,45.6
서울특별시 중구 (1114000000),44.6,45,45.6,45.8,46.1
서울특별시 용산구 (1117000000),43.6,44,44.3,44.3,44.4
서울특별시 성동구 (1120000000),42,42.5,43,43.4,43.8
서울특별시 광진구 (1121500000),41.4,41.9,42.4,42.9,43.3
서울특별시 동대문구 (1123000000),43.3,43.7,44.1,44.3,44.5
서울특별시 중랑구 (1126000000),43.5,44.2,44.8,45.3,45.7
서울특별시 성북구 (1129000000),42.5,42.9,43.3,43.7,44
서울특별시 강북구 (1130500000),44.7,45.4,46.2,46.7,47.3
서울특별시 도봉구 (1132000000),43.9,44.6,45.5,46.1,46.7
서울특별시 노원구 (1135000000),41.9,42.6,43.3,43.9,44.4
서울특별시 은평구 (1138000000),43.1,43.7,44.2,44.7,45.1
서울특별시 서대문구 (1141000000),43,43.4,43.6,43.9,44.1
서울특별시 마포구 (1144000000),41.2,41.6,42,42.2,42.6
서울특별시 양천구 (1147000000),41,41.6,42.2,42.8,43.4
서울특별시 강서구 (1150000000),41.4,42,42.6,43.1,43.5
서울특별시 구로구 (1153000000),42.5,43,43.7,44.2,44.6
서울특별시 금천구 (1154500000),43.4,43.9,44.5,44.8,45.2
서울특별시 영등포구 (1156000000),42.5,42.8,43,43.2,43.4
서울특별시 동작구 (1159000000),42.1,42.6,43.1,43.5,43.8
서울특별시 관악구 (1162000000),41.7,42.2,42.6,42.9,43.1
서울특별시 서초구 (1165000000),40.4,40.8,41.3,41.7,42.1
서울특별시 강남구 (1168000000),40.5,40.9,41.4,41.9,42.3
서울특별시 송파구 (1171000000),40.7,41.2,41.7,42.2,42.6
서울특별시 강동구 (1174000000),42.1,42.5,42.6,43,43.4
